Block,Isolate,Cultivar_number,Cultivar_name,24,30,36,42,48,54,60,66,AUMPC (48),AUMPC (66 h),X__1,X__2,X__3,X__4
54,2D,9,IPR Andorinha,0.01,0.653,0.79,1.229,1.622,1.931,2.454,3.417,21.048000000000002,62.475,NA,NA,NA,NA
62,2D,9,IPR Andorinha,0.297,0.701,0.906,1.605,2.242,4.035,3.807,5.727,30.453000000000003,101.412,NA,NA,NA,NA
66,2D,9,IPR Andorinha,0.561,1.241,2.012,2.742,3.513,4.552,5.306,7.285,54.924,146.466,NA,NA,NA,NA
3,2B,10,IPR Bem-te-vi,3.097,5.538,9.656,13.96,20.87,NA,NA,NA,283.989,NA,NA,NA,NA,NA
7,2B,10,IPR Bem-te-vi,1.72,2.926,4.572,8.001,12.112,NA,NA,NA,155.13,NA,NA,NA,NA,NA
17,2B,10,IPR Bem-te-vi,0.634,1.179,2.425,4.216,6.968,NA,NA,NA,77.334,NA,NA,NA,NA,NA
19,2B,10,IPR Bem-te-vi,1.333,2.531,4.458,8.31,13.356,NA,NA,NA,151.857,NA,NA,NA,NA,NA
27,2B,10,IPR Bem-te-vi,1.045,2.407,5.033,8.678,15.907,NA,NA,NA,160.10399999999998,NA,NA,NA,NA,NA
32,2B,10,IPR Bem-te-vi,2.113,4.861,6.441,10.533,16.175,NA,NA,NA,211.23,NA,NA,NA,NA,NA
35,2D,10,IPR Bem-te-vi,0.003,0.003,0.305,0.328,0.617,0.877,1.132,1.261,5.711999999999999,23.400000000000002,NA,NA,NA,NA
41,2D,10,IPR Bem-te-vi,0.143,0.418,0.759,1.472,1.847,2.471,3.458,3.58,23.58,75.43499999999999,NA,NA,NA,NA
50,2D,10,IPR Bem-te-vi,0.212,0.73,0.98,1.608,2.138,3.635,4.217,5.921,29.502,100.79099999999998,NA,NA,NA,NA
53,2D,10,IPR Bem-te-vi,0.536,1.177,1.696,2.769,3.883,6.304,8.545,12.383,53.541000000000004,191.433,NA,NA,NA,NA
63,2D,10,IPR Bem-te-vi,0.205,0.525,1.174,2.137,2.693,4.927,6.192,9.011,34.17,135.996,NA,NA,NA,NA
66,2D,10,IPR Bem-te-vi,0.426,0.55,1.161,1.503,2.36,3.079,3.635,3.952,32.754,91.97399999999999,NA,NA,NA,NA
3,2B,11,IPR Tangará,1.052,3.061,5.06,8.913,14.129,NA,NA,NA,160.37099999999998,NA,NA,NA,NA,NA
8,2B,11,IPR Tangará,0.885,2.461,2.939,5.593,10.778,NA,NA,NA,111.56700000000001,NA,NA,NA,NA,NA
18,2B,11,IPR Tangará,1.051,2.378,4.259,5.752,10.81,NA,NA,NA,122.52900000000001,NA,NA,NA,NA,NA
20,2B,11,IPR Tangará,2.643,4.753,6.892,11.014,17.351,NA,NA,NA,227.652,NA,NA,NA,NA,NA
28,2B,11,IPR Tangará,1.674,3.837,5.859,8.232,12.683,NA,NA,NA,170.727,NA,NA,NA,NA,NA
30,2B,11,IPR Tangará,2.511,4.649,8.087,10.139,14.997,NA,NA,NA,219.906,NA,NA,NA,NA,NA
36,2D,11,IPR Tangará,0.436,0.781,1.158,1.65,1.987,3.276,3.97,5.966,34.035000000000004,101.36999999999999,NA,NA,NA,NA
42,2D,11,IPR Tangará,0.121,0.377,0.645,0.883,1.132,1.394,1.5,2.153,16.641,43.86,NA,NA,NA,NA
48,2D,11,IPR Tangará,0.15,0.546,1.089,1.551,2.1,2.533,3.091,3.609,27.666,78.53699999999999,NA,NA,NA,NA
57,2D,11,IPR Tangará,0.619,0.987,1.692,2.371,2.71,3.263,4.148,4.705,47.71499999999999,114.426,NA,NA,NA,NA
59,2D,11,IPR Tangará,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2D,11,IPR Tangará,0.255,0.775,1.116,1.808,2.493,3.661,4.09,5.088,33.498000000000005,102.74700000000003,NA,NA,NA,NA
3,2B,12,IPR 139,1.46,3.523,6.468,11.838,16.638,NA,NA,NA,202.78800000000004,NA,NA,NA,NA,NA
11,2B,12,IPR 139,1.686,4.162,6.367,11.276,17.692,NA,NA,NA,209.196,NA,NA,NA,NA,NA
17,2B,12,IPR 139,2.028,3.644,5.325,9.707,13.664,NA,NA,NA,183.46800000000002,NA,NA,NA,NA,NA
18,2B,12,IPR 139,0.503,1.586,3.437,6.131,10.68,NA,NA,NA,106.509,NA,NA,NA,NA,NA
27,2B,12,IPR 139,0.855,2.03,3.837,6.436,9.489,NA,NA,NA,115.11000000000001,NA,NA,NA,NA,NA
34,2B,12,IPR 139,2.707,5.596,7.767,12.094,19.682,NA,NA,NA,252.39299999999997,NA,NA,NA,NA,NA
39,2D,12,IPR 139,0.39,0.95,1.353,1.696,1.911,2.598,2.89,3.776,35.577,85.566,NA,NA,NA,NA
44,2D,12,IPR 139,0.324,0.843,1.414,3.049,4.274,6.208,8.33,9.897,49.518,179.259,NA,NA,NA,NA
51,2D,12,IPR 139,0.357,0.736,1.208,2.061,3.12,5.509,6.446,8.678,38.745,145.86899999999997,NA,NA,NA,NA
58,2D,12,IPR 139,0.473,0.899,1.535,2.404,3.318,4.974,6.202,8.183,46.077,147.63599999999997,NA,NA,NA,NA
60,2D,12,IPR 139,0.394,0.743,1.296,2.255,3.119,4.895,5.867,7.53,41.031,137.55,NA,NA,NA,NA
67,2D,12,IPR 139,1.18,2.24,4.291,6.715,8.974,15.299,20.39,21,124.09800000000001,428.1540000000001,NA,NA,NA,NA
4,2B,13,IPR Campos Gerais,1.063,2.328,3.453,5.208,8.672,NA,NA,NA,107.895,NA,NA,NA,NA,NA
10,2B,13,IPR Campos Gerais,0.807,2.029,3.198,5.316,10.466,NA,NA,NA,106.761,NA,NA,NA,NA,NA
13,2B,13,IPR Campos Gerais,0.878,2.106,4.166,7.171,11.621,NA,NA,NA,128.691,NA,NA,NA,NA,NA
21,2B,13,IPR Campos Gerais,0.632,1.968,3.137,5.609,8.233,NA,NA,NA,98.46300000000001,NA,NA,NA,NA,NA
27,2B,13,IPR Campos Gerais,1.676,3.585,6.123,10.611,17.984,NA,NA,NA,201.006,NA,NA,NA,NA,NA
35,2B,13,IPR Campos Gerais,2.198,3.403,6.336,9.91,13.877,NA,NA,NA,192.495,NA,NA,NA,NA,NA
38,2D,13,IPR Campos Gerais,0.032,0.2,0.502,0.788,1.196,1.566,1.885,2.127,13.008,43.68299999999999,NA,NA,NA,NA
45,2D,13,IPR Campos Gerais,0.395,0.92,1.33,1.666,2.234,2.944,3.029,3.74,36.123,89.88299999999998,NA,NA,NA,NA
52,2D,13,IPR Campos Gerais,0.709,1.465,2.196,3.855,4.569,6.429,8.947,13.507,69.438,215.92199999999997,NA,NA,NA,NA
57,2D,13,IPR Campos Gerais,0.008,0.199,0.72,1.187,2.069,3.265,5.217,7.745,18.963,99.297,NA,NA,NA,NA
62,2D,13,IPR Campos Gerais,0.002,0.203,0.661,0.84,1.719,2.553,3.051,5.571,15.411,70.905,NA,NA,NA,NA
67,2D,13,IPR Campos Gerais,0.401,0.889,1.468,2.98,4.8,7.038,11.009,14.639,52.43699999999999,219.03600000000003,NA,NA,NA,NA
4,2B,14,IPR Quero-quero,1.333,2.308,4.319,7.819,12.473,NA,NA,NA,144.09,NA,NA,NA,NA,NA
9,2B,14,IPR Quero-quero,1.192,3.249,4.575,7.538,9.969,NA,NA,NA,139.959,NA,NA,NA,NA,NA
15,2B,14,IPR Quero-quero,1.533,3.463,7.274,10.235,17.629,NA,NA,NA,201.714,NA,NA,NA,NA,NA
22,2B,14,IPR Quero-quero,2.256,4.617,7.438,11.678,16.598,NA,NA,NA,226.03199999999998,NA,NA,NA,NA,NA
26,2B,14,IPR Quero-quero,1.675,3.67,5.808,8.674,14.961,NA,NA,NA,178.92,NA,NA,NA,NA,NA
32,2B,14,IPR Quero-quero,1.715,4.261,6.767,11.572,18.28,NA,NA,NA,216.165,NA,NA,NA,NA,NA
40,2D,14,IPR Quero-quero,0.463,0.771,1.275,1.918,2.391,2.992,3.751,5.45,37.901999999999994,101.883,NA,NA,NA,NA
43,2D,14,IPR Quero-quero,0.002,0.006,0.249,0.608,0.921,1.351,1.73,2.479,7.970999999999999,36.657,NA,NA,NA,NA
51,2D,14,IPR Quero-quero,0.377,0.652,1.175,1.896,2.486,3.779,4.358,5.042,35.45099999999999,106.857,NA,NA,NA,NA
56,2D,14,IPR Quero-quero,0.324,1.089,1.848,2.953,3.974,6.685,8.245,10.175,52.12199999999999,184.14900000000003,NA,NA,NA,NA
61,2D,14,IPR Quero-quero,0.492,0.806,1.102,1.651,2.288,4.117,4.633,6.571,35.598,114.67500000000001,NA,NA,NA,NA
