Isolate_number,Isolate,Block,3 dai,6 dai,8 dai (cm),AUDPC,After first node,Score
31,974B,2,1.5,4.5,4.5,20.25,0,4
32,974D,2,5,6,6.5,36.5,1.5,5
1,143,3,5,6,6,36,1,5
2,541B,3,4.5,5,5,31,0.5,5
3,268,3,4,5,5,29.5,1,5
4,202,3,4.5,5,5.5,31.5,1,5
5,974A,3,4,6.5,7.5,35.75,3.5,6
6,834B,3,5.5,7,8,42,3,6
7,975D,3,NA,NA,NA,NA,0,1
8,267,3,3.5,5.5,7,31.25,4.5,6
9,978B,3,2.5,2.75,3,17.375,0.5,6
10,977B,3,4.5,6,6.5,35,2,5
11,293E,3,2.5,5.5,7,28.25,4.5,6
12,973C,3,2.5,4.5,6.5,25.25,4,6
13,1020,3,3.5,4.5,4.5,26.25,4.5,3
14,289,3,2.5,3.5,5.5,21.75,3,6
