Section,Block,Isolate_number,Isolate,Collection,24 horas,30 horas,36 horas,42 horas,48 horas,AUMPD
2,6,12,973E,first,1.68,3.093,6.193,8.948,16.368,183.708
2,8,12,973E,first,1.991,3.399,5.845,8.407,14.207,178.392
2,12,12,973E,first,1.272,1.971,2.856,4.54,9.421,103.545
2,13,12,973E,first,1.05,1.758,3.359,5.565,10.366,110.94
2,16,12,973E,first,2.488,3.973,9.506,12.378,16.881,243.105
2,18,12,973E,first,2.384,5.132,8.377,12.023,19.651,247.905
2,22,12,973E,first,0.171,0.815,1.166,1.846,3.369,35.634
2,25,12,973E,first,0.361,1.085,2.283,4.833,7.709,77.748
2,1,13,974B,first,0.003,0.395,0.643,1.156,2.141,19.632
2,4,13,974B,first,0.004,0.005,0.003,0.003,0.002,0.132
2,6,13,974B,first,0.23,0.555,1.13,1.993,2.766,33.816
2,8,13,974B,first,0,0,0.447,0.696,1.173,10.377
2,11,13,974B,first,0,0.116,0.402,1.082,2.881,18.243
2,15,13,974B,first,0,0.066,0.415,1.273,1.747,15.765
2,17,13,974B,first,0,0,0.168,0.403,0.942,6.252
2,18,13,974B,first,NA,NA,NA,NA,NA,NA
2,21,13,974B,first,0.085,0.325,0.574,0.979,2.089,18.81
2,25,13,974B,first,NA,NA,NA,NA,NA,NA
2,1,14,974E,first,1.166,2.383,4.316,7.008,12.826,138.21
2,4,14,974E,first,0.597,1.619,3.051,4.472,6.877,84.438
2,8,14,974E,first,1.411,2.902,4.279,8.335,11.045,147.396
2,9,14,974E,first,0.315,1.072,1.845,3.06,5.372,56.703
2,12,14,974E,first,0.742,1.543,2.607,5.138,6.722,87.024
2,15,14,974E,first,0.609,1.023,1.873,3.049,4.648,58.749
2,16,14,974E,first,0.143,0.744,1.269,2.529,4.646,43.335
2,20,14,974E,first,0.801,1.592,2.552,4.92,7.757,89.67
2,22,14,974E,first,0.484,1.043,1.955,2.949,4.906,57.66
2,25,14,974E,first,0.48,1.114,1.806,2.725,5.362,57.156
2,2,15,975D,first,1.889,3.037,5.875,8.828,12.318,171.729
2,3,15,975D,first,1.256,2.328,4.756,8.165,13.818,151.788
2,6,15,975D,first,1.702,2.796,4.599,7.398,12.002,150.294
2,9,15,975D,first,1.569,3.348,4.908,7.215,9.906,146.079
2,13,15,975D,first,2.034,3.408,5.2,8.162,9.846,160.668
