Number,Section,Isolate number,Isolate,Collection,Area
738,2,29,14,second,7.247
739,2,29,14,second,11.971
740,2,29,14,second,4.63
741,2,30,25,second,0.318
742,2,30,25,second,0.584
743,2,30,25,second,0
744,2,30,25,second,0
745,2,30,25,second,2.115
746,2,30,25,second,0.671
747,2,30,25,second,0.602
748,2,30,25,second,1.045
749,2,30,25,second,0
750,2,30,25,second,0.388
751,2,16,1,third,10.679
752,2,16,1,third,13.207
753,2,16,1,third,20.46
754,2,16,1,third,17.173
755,2,16,1,third,17.781
756,2,16,1,third,9.455
757,2,16,1,third,13.165
758,2,16,1,third,12.818
759,2,16,1,third,17.734
760,2,16,1,third,13.687
761,2,17,1*,third,4.992
762,2,17,1*,third,5.946
763,2,17,1*,third,7.766
764,2,17,1*,third,7.017
765,2,17,1*,third,5.25
766,2,17,1*,third,2.647
767,2,17,1*,third,9.554
768,2,17,1*,third,11.405
769,2,17,1*,third,6.663
770,2,17,1*,third,10.815
771,2,18,3,third,16.845
772,2,18,3,third,13.664
773,2,18,3,third,11.534
774,2,18,3,third,13.309
775,2,18,3,third,20.132
776,2,18,3,third,6.378
777,2,18,3,third,13.436
778,2,18,3,third,8.433
779,2,18,3,third,13.245
780,2,18,3,third,13.284
781,2,19,1023,third,4.521
782,2,19,1023,third,3.367
783,2,19,1023,third,15.915
784,2,19,1023,third,4.49
785,2,19,1023,third,7.242
786,2,19,1023,third,2.148
787,2,19,1023,third,6.684
788,2,19,1023,third,16.226
789,2,19,1023,third,7.799
790,2,19,1023,third,6.473
791,2,20,5,third,12.536
792,2,20,5,third,15.093
793,2,20,5,third,10.086
794,2,20,5,third,19.403
795,2,20,5,third,15.356
796,2,20,5,third,11.548
797,2,20,5,third,17.162
798,2,20,5,third,20.859
799,2,20,5,third,8.54
800,2,20,5,third,21.529
801,2,21,18,third,0.385
802,2,21,18,third,1.273
803,2,21,18,third,0
804,2,21,18,third,0.219
805,2,21,18,third,0.002
806,2,21,18,third,0.002
807,2,21,18,third,0
808,2,21,18,third,0
809,2,21,18,third,0.369
810,2,21,18,third,1.453
811,2,22,7,third,0.2
812,2,22,7,third,0.059
813,2,22,7,third,3.578
814,2,22,7,third,2.062
815,2,22,7,third,2.1
816,2,22,7,third,3.951
817,2,22,7,third,2.149
818,2,22,7,third,1.159
819,2,22,7,third,1.997
